type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,80,44984,8614922846,0.447173,8.03986
compile,full,2,80,44984,8664760104,0.421085,8.05451
compile,full,3,80,44983,8660220234,0.460967,8.03911
compile,full,4,80,44984,8629076389,0.487325,7.9727
compile,full,5,80,44984,8586060302,0.462274,8.01315
compile,full,6,80,44984,8604231955,0.462264,7.97493
compile,full,7,80,44984,8567712042,0.457018,8.00101
compile,full,8,80,44984,8601838402,0.439747,7.9881
compile,full,9,80,44984,8549637361,0.460996,7.99048
compile,full,10,80,44984,8579361732,0.441366,8.00827
compile,full,11,80,44984,8620522741,0.489716,8.01853
compile,full,12,80,44984,8670463237,0.470691,8.02564
compile,full,13,80,44984,8590000239,0.486365,8.01557
compile,full,14,80,44983,8518122884,0.439265,7.94365
compile,full,15,80,44984,8633009418,0.453584,7.99056
compile,full,16,80,44984,8728445779,0.593389,7.99733
compile,full,17,80,44984,8611372021,0.448738,7.97175
compile,full,18,80,44984,8687812851,0.436234,8.02237
compile,full,19,80,44984,8598050860,0.439231,7.99901
compile,full,20,80,44984,8638217877,0.507055,7.98524
compile,full,21,80,44983,8695931656,0.525608,7.99001
compile,full,22,80,44983,8684010143,0.456496,8.06058
compile,full,23,80,44984,8604822463,0.451296,8.00621
compile,full,24,80,44984,8652581967,0.456696,8.02097
compile,full,25,80,44984,8613787941,0.460682,7.98476
compile,full,26,80,44984,8695020526,0.459632,7.97359
compile,full,27,80,44983,8786564401,0.53186,8.01424
compile,full,28,80,44984,8666730629,0.467663,8.02331
compile,full,29,80,44982,8631197585,0.464643,8.0143
compile,full,30,80,44984,8692451043,0.501273,7.98773
compile,full,31,80,44983,8526509813,0.439341,7.97093
compile,full,32,80,44984,8652800838,0.472761,8.0079
compile,full,33,80,44984,8672976453,0.440487,8.01582
compile,full,34,80,44983,8579502019,0.467713,8.01313
compile,full,35,80,44983,8581389480,0.450181,8.03068
compile,full,36,80,44984,8551122475,0.471782,7.98764
compile,full,37,80,44983,8594706885,0.456754,7.97801
compile,full,38,80,44984,8919437386,0.564531,8.18667
compile,full,39,80,44984,8827130213,0.429444,8.21819
compile,full,40,80,44984,8767700073,0.549971,8.02896
compile,full,41,80,44984,8658639020,0.459369,8.00355
compile,full,42,80,44984,8706777263,0.488579,8.03459
compile,full,43,80,44983,9002912771,0.808515,8.01752
compile,full,44,80,44984,8647334300,0.443592,8.04932
compile,full,45,80,44984,8715344151,0.482785,7.98016
compile,full,46,80,44984,8666273417,0.481899,7.9999
compile,full,47,80,44984,8591703584,0.454575,7.97576
compile,full,48,80,44984,8620033268,0.462734,7.99639
compile,full,49,80,44984,8662681676,0.495413,8.02148
compile,full,50,80,44984,8696919780,0.504797,8.002
get-pdf,default,1,32,1405986,170263694,0,0
get-pdf,default,2,32,1405986,135652664,0,0
get-pdf,default,3,32,1405986,126814897,0,0
get-pdf,default,4,32,1405986,124835812,0,0
get-pdf,default,5,32,1405986,134814501,0,0
get-pdf,default,6,32,1405986,122951920,0,0
get-pdf,default,7,32,1405986,135179607,0,0
get-pdf,default,8,32,1405986,113587987,0,0
get-pdf,default,9,32,1405986,152967181,0,0
get-pdf,default,10,32,1405986,126941905,0,0
get-pdf,default,11,32,1405986,121410733,0,0
get-pdf,default,12,32,1405986,121379217,0,0
get-pdf,default,13,32,1405986,129407653,0,0
get-pdf,default,14,32,1405986,128719933,0,0
get-pdf,default,15,32,1405986,121223384,0,0
get-pdf,default,16,32,1405986,132604660,0,0
get-pdf,default,17,32,1405986,127931081,0,0
get-pdf,default,18,32,1405986,113748862,0,0
