type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,58,24238503
update-file,secs/acks.tex,2,781,58,38610639
update-file,secs/acks.tex,3,781,58,25738785
update-file,secs/acks.tex,4,781,58,26497475
update-file,secs/acks.tex,5,781,58,43701909
update-file,secs/acks.tex,6,781,58,28351488
update-file,secs/acks.tex,7,781,58,29111575
update-file,secs/acks.tex,8,781,58,24144389
update-file,secs/acks.tex,9,781,58,46869534
update-file,secs/acks.tex,10,781,58,28396227
update-file,secs/acks.tex,11,781,58,25734079
update-file,secs/acks.tex,12,781,58,22858576
update-file,secs/acks.tex,13,781,58,61032574
update-file,secs/acks.tex,14,781,58,23457050
update-file,secs/acks.tex,15,781,58,24661579
update-file,secs/acks.tex,16,781,58,35368978
update-file,secs/acks.tex,17,781,58,36911678
update-file,secs/acks.tex,18,781,58,29736556
update-file,secs/acks.tex,19,781,58,21735916
update-file,secs/acks.tex,20,781,58,27481581
update-file,secs/acks.tex,21,781,58,39404496
update-file,secs/acks.tex,22,781,58,37631145
update-file,secs/acks.tex,23,781,58,26084603
update-file,secs/acks.tex,24,781,58,26583051
update-file,secs/acks.tex,25,781,58,24315968
update-file,secs/acks.tex,26,781,58,47690567
update-file,secs/acks.tex,27,781,58,24108194
update-file,secs/acks.tex,28,781,58,41437535
update-file,secs/acks.tex,29,781,58,32941989
update-file,secs/acks.tex,30,781,58,29731836
update-file,secs/acks.tex,31,781,58,55878894
update-file,secs/acks.tex,32,781,58,23678065
update-file,secs/acks.tex,33,781,58,23952440
update-file,secs/acks.tex,34,781,58,29195867
update-file,secs/acks.tex,35,781,58,29776287
update-file,secs/acks.tex,36,781,58,25630260
update-file,secs/acks.tex,37,781,58,25306179
update-file,secs/acks.tex,38,781,58,24585570
update-file,secs/acks.tex,39,781,58,60586060
update-file,secs/acks.tex,40,781,58,24299789
update-file,secs/acks.tex,41,781,58,23559355
update-file,secs/acks.tex,42,781,58,41305175
update-file,secs/acks.tex,43,781,58,27614331
update-file,secs/acks.tex,44,781,58,24404955
update-file,secs/acks.tex,45,781,58,23902969
update-file,secs/acks.tex,46,781,58,46441801
update-file,secs/acks.tex,47,781,58,35191485
update-file,secs/acks.tex,48,781,58,44611466
update-file,secs/acks.tex,49,781,58,27595898
update-file,secs/acks.tex,50,781,58,49544636
update-file,secs/multi.tex,1,1217,60,25420019
update-file,secs/multi.tex,2,1217,60,88026549
update-file,secs/multi.tex,3,1217,60,27722883
update-file,secs/multi.tex,4,1217,60,35540767
update-file,secs/multi.tex,5,1217,60,43677453
update-file,secs/multi.tex,6,1217,60,23408805
update-file,secs/multi.tex,7,1217,60,27625755
update-file,secs/multi.tex,8,1217,60,27409161
update-file,secs/multi.tex,9,1217,60,27811194
update-file,secs/multi.tex,10,1217,60,26269840
update-file,secs/multi.tex,11,1217,60,26970404
update-file,secs/multi.tex,12,1217,60,23856145
update-file,secs/multi.tex,13,1217,60,25682172
update-file,secs/multi.tex,14,1217,60,30468252
update-file,secs/multi.tex,15,1217,60,56186385
update-file,secs/multi.tex,16,1217,60,38509079
